"","s01_rs3_A","s01_rs3_C","s01_rs3_T","s01_rs3_G","s01_rs3_N","s02_rs3_A","s02_rs3_C","s02_rs3_T","s02_rs3_G","s02_rs3_N","s03_rs5_A","s03_rs5_C","s03_rs5_T","s03_rs5_G","s03_rs5_N","s04_rl3_A","s04_rl3_C","s04_rl3_T","s04_rl3_G","s04_rl3_N","s05_rl3_A","s05_rl3_C","s05_rl3_T","s05_rl3_G","s05_rl3_N","s06_rl5_A","s06_rl5_C","s06_rl5_T","s06_rl5_G","s06_rl5_N","s07_dl3_A","s07_dl3_C","s07_dl3_T","s07_dl3_G","s07_dl3_N","s08_dl3_A","s08_dl3_C","s08_dl3_T","s08_dl3_G","s08_dl3_N","s09_dl5_A","s09_dl5_C","s09_dl5_T","s09_dl5_G","s09_dl5_N"
NA,0,0,0.982982534706673,0.0170174652933274,0,0.00997920997920998,0.00124740124740125,0.0137214137214137,0.975051975051975,0,0.0331061343719572,0.000486854917234664,0.0277507302823759,0.938656280428432,0,0.0121817105151848,8.45952119110058e-05,0.0223331359445055,0.965400558328399,0,0.0165406427221172,0.000850661625708885,0.0258034026465028,0.956805293005671,0,0.00180403653173977,0.000676513699402413,0.0179276130341639,0.97947908445146,0.000112752283233735,0.0128579146407347,0.000432198811453269,0.0178282009724473,0.968881685575365,0,0.0039670111702683,0.000313185092389602,0.0186867105125796,0.976719908132373,0.000313185092389602,0.00350455592269951,0.000200260338439972,0.0201261640132172,0.976068889556423,0.000100130169219986
NA,0.000447828034034931,0,0.0201522615315719,0.979399910434393,0,0.0079002079002079,0.000415800415800416,0.976299376299376,0.0153846153846154,0,0.0214216163583252,0,0.939629990262902,0.0389483933787731,0,0.0230098976397936,0.00109973775484308,0.962439725911513,0.0133660434819389,8.45952119110058e-05,0.0238185255198488,0.000189035916824197,0.958317580340265,0.0176748582230624,0,0.0149960536700868,0.000676513699402413,0.979028075318525,0.00529935731198557,0,0.0172879524581307,0,0.968341437061048,0.0143706104808212,0,0.0167032049274455,0.000417580123186136,0.977972648501931,0.0049065664474371,0,0.0206268148593171,0,0.974667067187344,0.00470611795333934,0
NA,0.019256605463502,0,0.979847738468428,0.000895656068069861,0,0.98004158004158,0.000415800415800416,0.0174636174636175,0.00207900207900208,0,0.949367088607595,0,0.0394352482960078,0.0111976630963973,0,0.985280433127485,0.000338380847644023,0.0137044243295829,0.000676761695288047,0,0.979962192816635,0.000472589792060492,0.0179584120982987,0.00160680529300567,0,0.993573119855677,0.000112752283233735,0.00586311872815424,0.000451009132934942,0,0.984548892490546,0.000108049702863317,0.0141545110750945,0.00118854673149649,0,0.993109927967429,0.000313185092389602,0.00605491178619898,0.00052197515398267,0,0.994392710523681,0.000300390507659958,0.00520676879943927,0.000100130169219986,0
NA,0.995969547693686,0,0.00358262427227944,0.000447828034034931,0,0.995841995841996,0.00166320166320166,0.00166320166320166,0.000831600831600832,0,0.985881207400195,0,0.0111976630963973,0.00292112950340798,0,0.999238643092801,8.45952119110058e-05,0.000676761695288047,0,0,0.996313799621928,0.000472589792060492,0.00236294896030246,0.000850661625708885,0,0.99909798173413,0.000112752283233735,0.000338256849701206,0.000451009132934942,0,0.99870340356564,0.000108049702863317,0.00118854673149649,0,0,0.998851654661238,0.000104395030796534,0.00052197515398267,0.00052197515398267,0,0.99869830780014,0.000400520676879944,0.00050065084609993,0.000300390507659958,0.000100130169219986
NA,0.999552171965965,0,0.000447828034034931,0,0,0.997089397089397,0.000831600831600832,0.000415800415800416,0.00166320166320166,0,0.995131450827653,0.00243427458617332,0.00243427458617332,0,0,0.997208358006937,0.00228407072159716,0.000253785635733018,0.000253785635733018,0,0.996030245746692,0.00179584120982987,0.00103969754253308,0.00113421550094518,0,0.997970458901793,0.0015785319652723,0.000338256849701206,0.000112752283233735,0,0.998487304159914,0.00129659643435981,0,0.000216099405726634,0,0.998434074538052,0.00125274036955841,0.000208790061593068,0.000104395030796534,0,0.99779713627716,0.00170221287673976,0.000100130169219986,0.000400520676879944,0
NA,0.99820868786386,0.00179131213613972,0,0,0,0.985862785862786,0.0133056133056133,0,0.000831600831600832,0,0.982473222979552,0.0150925024342746,0,0.00243427458617332,0,0.971576008797902,0.0261399204805008,8.45952119110058e-05,0.00219947550968615,0,0.973724007561437,0.0229678638941399,0.000661625708884688,0.00264650283553875,0,0.983199909798173,0.0146577968203856,0.000563761416168677,0.0015785319652723,0,0.978930307941653,0.0185845488924905,0.000648298217179903,0.00183684494867639,0,0.979120993840693,0.0193130806973588,0.000313185092389602,0.00125274036955841,0,0.974867327525784,0.0226294182437168,0.000200260338439972,0.00230299389205968,0
NA,0.967756381549485,0.0304523063143753,0,0.00179131213613972,0,0.0278586278586279,0.95966735966736,0.000415800415800416,0.0120582120582121,0,0.13047711781889,0.854430379746835,0,0.0150925024342746,0,0.0192877083157093,0.94450554098638,0.000930547331021064,0.0352762033668894,0,0.0232514177693762,0.944517958412098,0.000756143667296786,0.0314744801512287,0,0.00980944864133499,0.941481565001691,0.0340511895365881,0.0146577968203856,0,0.0196650459211237,0.942301458670989,0.000648298217179903,0.0373851971907077,0,0.0253679924835578,0.927236663534816,0.0277690781918781,0.0196262657897484,0,0.00921197556823871,0.939421247621908,0.028737358566136,0.0225292880744968,0.000100130169219986
NA,0.0116435288849082,0.957904164800716,0,0.0304523063143753,0,0.017047817047817,0.0261954261954262,0,0.956756756756757,0,0.0340798442064265,0.111489776046738,0,0.854430379746835,0,0.0278318247187209,0.0269858725996109,8.45952119110058e-05,0.944928517045935,0.000169190423822012,0.0266540642722117,0.027882797731569,0.000189035916824197,0.945274102079395,0,0.0188296313000338,0.0419438493629496,0.00214229338144097,0.937084225955576,0,0.0218260399783901,0.0351161534305781,0,0.943057806591032,0,0.0272471030378954,0.0483348992587953,0.00386261613947176,0.920346591502245,0.000208790061593068,0.0272354060278362,0.0368479022729548,0.000801041353759888,0.935015520176229,0.000100130169219986
NA,0.0309001343484102,0.0111957008508733,0,0.957904164800716,0,0.96008316008316,0.0145530145530146,0,0.0253638253638254,0,0.858812074001947,0.0316455696202532,0,0.109542356377799,0,0.944759326622113,0.0275780390829879,0.000422976059555029,0.0272396582353439,0,0.945179584120983,0.025992438563327,0.000189035916824197,0.0286389413988658,0,0.941368812718458,0.0148833013868531,0,0.0437478858946894,0,0.942733657482442,0.0209616423554835,0.000108049702863317,0.0361966504592112,0,0.922330097087379,0.0241152521139994,0.000104395030796534,0.0533458607370289,0.000104395030796534,0.938319815760489,0.0229298087513768,0.000200260338439972,0.0385501151496946,0
NA,0.960143304970891,0.0273175100761308,0.000895656068069861,0.0116435288849082,0,0.0523908523908524,0.935550935550936,0,0.0120582120582121,0,0.126095423563778,0.855890944498539,0.000486854917234664,0.0175267770204479,0,0.0252939683613907,0.944759326622113,0.00152271381439811,0.028423991202098,0,0.0271266540642722,0.946502835538752,0.00056710775047259,0.0258034026465028,0,0.0598714623971135,0.937760739654978,0.000112752283233735,0.00214229338144097,0.000112752283233735,0.0345759049162615,0.943057806591032,0.000972447325769854,0.0212857914640735,0.000108049702863317,0.0529282806138428,0.920764171625431,0.000835160246372273,0.0253679924835578,0.000104395030796534,0.0611795333934114,0.935616301191549,0.000700911184539902,0.00250325423049965,0
NA,0.019256605463502,0.953425884460367,0,0.0273175100761308,0,0.00831600831600832,0.0615384615384615,0.00124740124740125,0.928898128898129,0,0.868062317429406,0.110029211295034,0.00292112950340798,0.0189873417721519,0,0.00262245156924118,0.0544793164706878,0.000253785635733018,0.942559851112427,8.45952119110058e-05,0.0054820415879017,0.0513232514177694,9.45179584120983e-05,0.943100189035917,0,0.937084225955576,0.0453264178599617,0.00146577968203856,0.0160108242191904,0.000112752283233735,0.00259319286871961,0.0546731496488385,0,0.942733657482442,0,0.00668128197097818,0.0739116818039461,0.000104395030796534,0.919302641194279,0,0.935716431360769,0.0384499849804746,0.00220286372283969,0.0236307199359167,0
NA,0.00358262427227944,0.045230631437528,0,0.951186744290193,0,0.00207900207900208,0.945530145530146,0.00207900207900208,0.0503118503118503,0,0.111489776046738,0.0219084712755599,0.0194741966893866,0.847127555988315,0,0.00245326114541917,0.97140681837408,0.000592166483377041,0.0255477539971238,0,0.00349716446124764,0.969281663516068,0.000189035916824197,0.0270321361058601,0,0.0454391701431954,0.000789265982636148,0.0171383470515278,0.936633216822641,0,0.00205294435440303,0.963155051323609,0.000432198811453269,0.0343598055105348,0,0.00146153043115148,0.944775028708634,0.000313185092389602,0.0533458607370289,0.000104395030796534,0.0385501151496946,0.00130169219985982,0.0249324121357765,0.935215780514669,0
NA,0.0304523063143753,0.949395432154053,0.00268696820420958,0.0174652933273623,0,0.0116424116424116,0.977546777546778,0.00498960498960499,0.00582120582120582,0,0.0175267770204479,0.00584225900681597,0.863680623174294,0.112950340798442,0,0.028508586414009,0.969461128500127,0.000338380847644023,0.00169190423822012,0,0.0241965973534972,0.97069943289225,0.00141776937618147,0.00368620037807183,0,0.00101477054910362,0.000563761416168677,0.951516518209494,0.046904949825234,0,0.0205294435440303,0.976661264181524,0.000216099405726634,0.00259319286871961,0,0.0202526359745276,0.972439711869715,0.00114834533876187,0.00615930681699551,0,0.00110143186141985,0.000700911184539902,0.957644938419946,0.0405527185340943,0
NA,0.0277653381101657,0.969547693685625,0.000447828034034931,0.00223914017017465,0,0.924324324324324,0.0669438669438669,0.000415800415800416,0.00831600831600832,0,0.00194741966893866,0.00827653359298929,0.958617332035054,0.0311587147030185,0,0.941460113357584,0.0570171728280179,0.000507571271466035,0.00101514254293207,0,0.941304347826087,0.0551984877126654,0.00189035916824197,0.00160680529300567,0,0.000338256849701206,0.000338256849701206,0.982072386965836,0.0172510993347615,0,0.940248514316586,0.0587790383576445,0.000216099405726634,0.00075634792004322,0,0.918154295855517,0.0799665935901451,0.000730765215575739,0.00114834533876187,0,0.000600781015319916,0.000100130169219986,0.974166416341244,0.0251326724742165,0
NA,0.921630094043887,0.077474249888043,0.000447828034034931,0.000447828034034931,0,0.0494802494802495,0.943451143451143,0.00166320166320166,0.00540540540540541,0,0.000973709834469328,0.00292112950340798,0.143135345666991,0.852969814995131,0,0.0252093731494797,0.971745199221724,0.00228407072159716,0.000761356907199053,0,0.0260869565217391,0.969470699432892,0.00179584120982987,0.00264650283553875,0,0.000338256849701206,0.000563761416168677,0.0641560491599955,0.934941932574135,0,0.0342517558076715,0.963587250135062,0.00194489465153971,0.000216099405726634,0,0.0525107004906566,0.944983818770227,0.00114834533876187,0.00135713540035494,0,0.000600781015319916,0.000300390507659958,0.0658856513467508,0.933213177130269,0
NA,0.0470219435736677,0.950738916256158,0.00179131213613972,0.000447828034034931,0,0.00498960498960499,0.974220374220374,0.0153846153846154,0.00540540540540541,0,0.00243427458617332,0.00340798442064265,0.883154819863681,0.111002921129503,0,0.00186109466204213,0.966584891295153,0.029354538533119,0.00219947550968615,0,0.00321361058601134,0.967391304347826,0.0260869565217391,0.00330812854442344,0,0.00180403653173977,0.000563761416168677,0.951967527342429,0.0456646747096629,0,0.00270124257158293,0.973851971907077,0.0218260399783901,0.00162074554294976,0,0.00615930681699551,0.969725441069005,0.0220273514980687,0.00208790061593068,0,0.00210273355361971,0.00100130169219986,0.957845198758386,0.0390507659957945,0
NA,0.00179131213613972,0.963725929243171,0.032243618450515,0.00223914017017465,0,0.00415800415800416,0.0565488565488566,0.923492723492723,0.0158004158004158,0,0.0189873417721519,0.000486854917234664,0.962512171372931,0.0180136319376826,0,0.000761356907199053,0.0280010151425429,0.939514423483631,0.0317232044666272,0,0.00170132325141777,0.029773156899811,0.938941398865785,0.0295841209829868,0,0.0172510993347615,0.000563761416168677,0.97947908445146,0.00270605479760965,0,0.000864397622906537,0.037817396002161,0.937331172339276,0.0238789843327931,0.000108049702863317,0.000730765215575739,0.0587744023384487,0.916588370393569,0.0239064620524063,0,0.0255331931510964,0.00050065084609993,0.970661860418544,0.00330429558425954,0
NA,0.000895656068069861,0.0506045678459472,0.914912673533363,0.0335871025526198,0,0.00582120582120582,0.00665280665280665,0.0507276507276507,0.936798336798337,0,0.840798442064265,0.000973709834469328,0.129503407984421,0.0287244401168452,0,0.00118433296675408,0.00236866593350816,0.0253785635733017,0.971068437526436,0,0.00236294896030246,0.0055765595463138,0.0251417769376181,0.966918714555766,0,0.933025143759161,0,0.04859623407374,0.0183786221670989,0,0.000540248514316586,0.00356564019448947,0.0328471096704484,0.963047001620746,0,0.00177471552354108,0.00720325712496085,0.0517799352750809,0.939242092076417,0,0.93121057374587,0.000400520676879944,0.0419545409031741,0.0264343646740763,0
NA,0.00179131213613972,0.00850873264666368,0.045230631437528,0.944469323779669,0,0.00207900207900208,0.00374220374220374,0.00665280665280665,0.987525987525988,0,0.107594936708861,0.00340798442064265,0.0418695228821811,0.847127555988315,0,0.00109973775484308,0.00253785635733018,0.00177649945013112,0.994585906437696,0,0.00255198487712665,0.00387523629489603,0.00340264650283554,0.990170132325142,0,0.0463411884090653,0.0019167888149735,0.0189423835832676,0.932799639192694,0,0.00075634792004322,0.00248514316585629,0.00345759049162615,0.993300918422474,0,0.00104395030796534,0.00260987576991335,0.00615930681699551,0.990186867105126,0,0.0390507659957945,0.00230299389205968,0.0271352758586162,0.93151096425353,0
NA,0.00179131213613972,0.00806090461262875,0.00403045230631438,0.986117330944917,0,0.00706860706860707,0.0228690228690229,0.00332640332640333,0.966735966735967,0,0.0185004868549172,0.0199610516066212,0.851509250243427,0.110029211295034,0,0.00304542762879621,0.0300313002284071,0.000930547331021064,0.965992724811776,0,0.00472589792060491,0.0283553875236295,0.00151228733459357,0.965406427221172,0,0.000676513699402413,0.0187168790168001,0.9344909234412,0.0461156838425978,0,0.00334954078876283,0.0233387358184765,0.000540248514316586,0.972771474878444,0,0.00219229564672722,0.0232800918676271,0.00146153043115148,0.973066082054494,0,0.00160208270751978,0.0267347551817363,0.932712526284169,0.0389506358265745,0
NA,0.00447828034034931,0.0317957904164801,0.00223914017017465,0.961486789072996,0,0.0299376299376299,0.911018711018711,0.00166320166320166,0.0573804573804574,0,0.00778967867575463,0.838851022395326,0.133885102239533,0.0194741966893866,0,0.0326537517976483,0.939176042635987,0.000253785635733018,0.0279164199306319,0,0.0313799621928166,0.937334593572779,0.00132325141776938,0.0299621928166352,0,0.00214229338144097,0.932461382342992,0.0646070582929304,0.000789265982636148,0,0.0256077795786062,0.93646677471637,0.00118854673149649,0.0367368989735278,0,0.0253679924835578,0.915544420085604,0.000208790061593068,0.0587744023384487,0.000104395030796534,0.00270351456893962,0.93091018323821,0.0649844798237709,0.0014018223690798,0
NA,0.0358262427227944,0.9064039408867,0.000895656068069861,0.0568741603224362,0,0.942203742203742,0.0474012474012474,0.000831600831600832,0.00956340956340956,0,0.0321324245374878,0.103213242453749,0.858325219084713,0.00632911392405063,0,0.970645461466881,0.0256323492090348,0.000422976059555029,0.00329921326452923,0,0.966446124763705,0.0257088846880907,0.00122873345935728,0.00661625708884688,0,0.0187168790168001,0.0482579772240388,0.932799639192694,0.000225504566467471,0,0.962074554294976,0.0331712587790384,0,0.00475418692598595,0,0.939659672199603,0.0515711452134878,0.000626370184779205,0.00814281240212966,0,0.0262341043356363,0.0406528487033143,0.932712526284169,0.000400520676879944,0
NA,0.941334527541424,0.0465741155396328,0.000447828034034931,0.0116435288849082,0,0.97962577962578,0.00706860706860707,0.000831600831600832,0.0124740124740125,0,0.843232716650438,0.0413826679649464,0.10856864654333,0.0068159688412853,0,0.994162930378141,0.00194568987395313,0.000169190423822012,0.00372218932408426,0,0.990453686200378,0.00387523629489603,0.000283553875236295,0.0053875236294896,0,0.93178486864359,0.0195061449994362,0.0463411884090653,0.00236779794790845,0,0.992436520799568,0.00237709346299298,0.000324149108589951,0.00486223662884927,0,0.989664891951143,0.00678567700177472,0,0.00354943104708216,0,0.93030940222289,0.0277360568739361,0.0389506358265745,0.00300390507659958,0
NA,0.983430362740708,0.00806090461262875,0.000895656068069861,0.00761307657859382,0,0.961330561330561,0.00415800415800416,0.00124740124740125,0.0332640332640333,0,0.106621226874391,0.840798442064265,0.0238558909444985,0.0287244401168452,0,0.966415700871331,0.00109973775484308,0.000169190423822012,0.0323153709500042,0,0.96578449905482,0.00302457466918715,0.000189035916824197,0.0310018903591682,0,0.0463411884090653,0.93088285037772,0.00338256849701206,0.0193933927162025,0,0.972231226364128,0.00162074554294976,0,0.0261480280929227,0,0.972439711869715,0.00198350558513415,0.000104395030796534,0.0254723875143543,0,0.0390507659957945,0.92960849103835,0.00410533693801943,0.0272354060278362,0
NA,0.961486789072996,0.00358262427227944,0.000447828034034931,0.0344827586206897,0,0.0869022869022869,0.00457380457380457,0.000415800415800416,0.908108108108108,0,0.0228821811100292,0.104186952288218,0.0360272638753651,0.836903602726388,0,0.0630234328736994,0.000761356907199053,0.000253785635733018,0.935961424583369,0,0.0609640831758034,0.00217391304347826,0.000189035916824197,0.936672967863894,0,0.00146577968203856,0.0465666929755328,0.0193933927162025,0.932574134626226,0,0.0636412749864938,0.000972447325769854,0,0.935386277687736,0,0.085812715314751,0.000939555277168807,0.000104395030796534,0.913143334377284,0,0.00170221287673976,0.0388505056573546,0.0267347551817363,0.932612396114949,0.000100130169219986
NA,0.096730855351545,0.00268696820420958,0,0.900582176444245,0,0.943035343035343,0.0079002079002079,0.000831600831600832,0.0482328482328482,0,0.0126582278481013,0.0228821811100292,0.836903602726388,0.127555988315482,0,0.969545723712038,0.00338380847644023,0.000507571271466035,0.0265628965400558,0,0.968525519848771,0.00368620037807183,0.00132325141776938,0.0264650283553875,0,0.000451009132934942,0.00146577968203856,0.929642575262149,0.0683278836396437,0.000112752283233735,0.963695299837925,0.00259319286871961,0.000108049702863317,0.0336034575904916,0,0.945505793924209,0.00187911055433761,0.000939555277168807,0.0516755402442844,0,0.000901171522979874,0.00210273355361971,0.92840692900771,0.0685891659156904,0
NA,0.947604120017913,0.00537393640841917,0.000895656068069861,0.0461262875055979,0,0.958419958419958,0.032016632016632,0.00124740124740125,0.00831600831600832,0,0.0107108081791626,0.0111976630963973,0.103700097370983,0.874391431353457,0,0.962270535487691,0.0334997039167583,0.000338380847644023,0.00389137974790627,0,0.961814744801512,0.0307183364839319,0.00103969754253308,0.00633270321361059,9.45179584120983e-05,0.00315706393054459,0.000451009132934942,0.0463411884090653,0.950050738527455,0,0.970286331712588,0.0258238789843328,0.000324149108589951,0.00356564019448947,0,0.96356613425201,0.0264119427915231,0.000104395030796534,0.0098131328948742,0.000104395030796534,0.00280364473815961,0.00130169219985982,0.0388505056573546,0.957044157404626,0
